image_name,image,RS
dataset/origimg/org/image_open7.jpg,139,1.0
dataset/origimg/org/image_open8.jpg,19,1.0
dataset/origimg/org/image_top11.jpg,5,1.0
dataset/origimg/org/image_top14.jpg,91,1.0
dataset/origimg/org/image_top16.jpg,18,1.0
dataset/origimg/org/image_open17.jpg,25,1.0
dataset/origimg/org/image_top23.jpg,82,1.0
dataset/origimg/org/image_open24.jpg,10,1.0
dataset/origimg/org/image_open25.jpg,115,1.0
dataset/origimg/org/image_top27.jpg,145,1.0
dataset/origimg/org/image_top28.jpg,47,1.0
dataset/origimg/org/image_top30.jpg,74,1.0
dataset/origimg/org/image_top34.jpg,122,1.0
dataset/origimg/org/image_top35.jpg,103,1.0
dataset/origimg/org/image_open38.jpg,29,1.0
dataset/origimg/org/image_open40.jpg,146,1.0
dataset/origimg/org/image_top42.jpg,142,0.9298480754548852
dataset/origimg/org/image_open43.jpg,20,1.0
dataset/origimg/org/image_top43.jpg,109,1.0
dataset/origimg/org/image_open44.jpg,22,1.0
dataset/origimg/org/image_top45.jpg,41,1.0
dataset/origimg/org/image_open45.jpg,8,0.9780400763858447
dataset/origimg/org/image_open46.jpg,86,1.0
dataset/origimg/org/image_top46.jpg,75,1.0
dataset/origimg/org/image_top47.jpg,61,0.8923382715745405
dataset/origimg/org/image_open47.jpg,134,0.9786071972413496
dataset/origimg/org/image_top48.jpg,96,0.9438029105013068
dataset/origimg/org/image_open48.jpg,67,0.9171531579711221
dataset/origimg/org/image_top49.jpg,6,0.796322317015041
dataset/origimg/org/image_open49.jpg,108,0.9122412502765656
dataset/origimg/org/image_top50.jpg,79,1.0
dataset/origimg/org/image_open50.jpg,51,0.8811007965694774
dataset/origimg/org/image_open51.jpg,125,0.8589079883965579
dataset/origimg/org/image_top51.jpg,72,0.9726850227876143
dataset/origimg/org/image_open52.jpg,104,0.9037803953344171
dataset/origimg/org/image_top52.jpg,127,1.0
dataset/origimg/org/image_top53.jpg,143,0.6630214490673758
dataset/origimg/org/image_open53.jpg,92,0.8316831588745117
dataset/origimg/org/image_top54.jpg,32,0.8988847136497498
dataset/origimg/org/image_open54.jpg,63,0.9220542122017255
dataset/origimg/org/image_open55.jpg,34,0.7434743642807007
dataset/origimg/org/image_top55.jpg,30,0.997585945779627
dataset/origimg/org/image_top56.jpg,62,0.9990134585987437
dataset/origimg/org/image_open56.jpg,2,1.0
dataset/origimg/org/image_open57.jpg,13,0.7501349969343706
dataset/origimg/org/image_top57.jpg,33,1.0
dataset/origimg/org/image_top58.jpg,39,0.9389313296838241
dataset/origimg/org/image_open58.jpg,37,0.966246634721756
dataset/origimg/org/image_top62.jpg,132,1.0
dataset/origimg/org/image_top88.jpg,77,1.0
dataset/origimg/org/image_top96.jpg,55,1.0
dataset/origimg/org/image_top102.jpg,68,1.0
dataset/origimg/org/image_top110.jpg,97,1.0
dataset/origimg/org/image_top113.jpg,141,1.0
dataset/origimg/org/image_top120.jpg,40,1.0
dataset/origimg/org/image_top133.jpg,152,1.0
dataset/origimg/org/image_top141.jpg,9,1.0
dataset/origimg/org/image_top145.jpg,116,1.0
dataset/origimg/org/image_top148.jpg,15,0.994329434633255
dataset/origimg/org/image_top156.jpg,144,1.0
dataset/origimg/org/image_top158.jpg,14,1.0
